initial_spark_compare.job_id	initial_spark_compare.max_capacity_memory_delayed	initial_spark_compare.user_limit_memory_delayed	initial_spark_compare.elastic_unfariness_memory_delayed	initial_spark_compare.competing_jobs_memory_delayed	initial_spark_compare.total_memory_delayed	initial_spark_compare.memory_waiting	initial_spark_compare.max_mem_capacity_robbed_mbsec	initial_spark_compare.elastic_unfairness_mem_capped_mbsec	initial_spark_compare.competing_job_mem_capped_mbsec
job_1435714271812_10821	5590223.360000001	0.0	0.0	0.0	5604663.296000001	1826816.0	0.0	0.0	0.0
job_1435714271812_11372	1.8652868608E7	0.0	0.0	0.0	1.3550145792000002E8	1.30679808E8	0.0	0.0	0.0
job_1435714271812_11420	1.9512803328E7	0.0	0.0	0.0	2.4362612736E7	1.313536E7	0.0	310272.0	0.0
job_1435714271812_11320	2.2581456384000003E7	0.0	0.0	0.0	2.259628032E7	1.785344E7	0.0	0.0	0.0
job_1435714271812_10742	565212.16	0.0	0.0	0.0	877263.36	71680.0	0.0	0.0	0.0
job_1435714271812_11178	388044.2879999999	0.0	15642.624	0.0	567809.5359999998	612864.0	612864.0	0.0	0.0
job_1435714271812_11289	1399936.0	0.0	0.0	0.0	1496730.112	32256.0	0.0	0.0	0.0
job_1435714271812_11313	1245724.16	0.0	0.0	0.0	1429287.4239999996	131072.0	0.0	0.0	0.0
job_1435714271812_10671	0.0	0.0	0.0	0.0	236860.41600000003	9216.0	0.0	0.0	0.0
job_1435714271812_11338	653402.112	0.0	0.0	0.0	1710484.992	19968.0	0.0	0.0	0.0
job_1435714271812_10527	270.336	0.0	0.0	0.0	544457.216	89088.0	0.0	12288.0	0.0
job_1435714271812_11384	1.9085062143999998E7	0.0	0.0	0.0	7.567099340799999E7	7.2005632E7	0.0	1.193984E7	0.0
job_1435714271812_10522	0.0	0.0	0.0	0.0	2233320.96	1196032.0	0.0	417792.0	0.0
job_1435714271812_11484	0.0	0.0	0.0	0.0	3.1349630976E7	1.164928E8	0.0	1.3033472E7	0.0
job_1435714271812_10804	6639142.400000002	0.0	0.0	0.0	6651037.184000002	2039808.0	0.0	0.0	0.0
job_1435714271812_11374	1.6533438464000002E7	0.0	0.0	0.0	1.9165937356800002E8	1.8888704E8	0.0	0.0	0.0
job_1435714271812_11287	1614180.864	0.0	0.0	0.0	2120905.216	680960.0	0.0	0.0	0.0
job_1435714271812_11395	2.1991022592E7	0.0	0.0	0.0	1.1331411916800001E8	1.08842496E8	0.0	121344.0	0.0
job_1435714271812_10677	587939.84	0.0	0.0	0.0	1301393.92	16896.0	0.0	0.0	0.0
job_1435714271812_11373	1.6057593855999997E7	0.0	0.0	0.0	1.6290878207999998E8	1.58854144E8	0.0	0.0	0.0
job_1435714271812_11410	1.9903720448000003E7	0.0	0.0	0.0	2.2163598848E7	1.4987264E7	0.0	0.0	0.0
job_1435714271812_11237	943652.3520000001	0.0	1092.096	0.0	1025852.9280000001	53248.0	0.0	0.0	0.0
job_1435714271812_10629	5582351.871999999	0.0	0.0	0.0	5592581.119999999	2011136.0	0.0	0.0	0.0
job_1435714271812_11424	1.7339183104E7	0.0	0.0	0.0	1.45290349568E8	1.33656064E8	0.0	47616.0	0.0
job_1435714271812_11391	2.0267819007999998E7	0.0	0.0	0.0	5.155812659200001E7	4.5231104E7	0.0	121344.0	0.0
job_1435714271812_11414	1.8199719936E7	0.0	0.0	0.0	1.0887947519999999E8	1.01314048E8	0.0	0.0	0.0
job_1435714271812_10810	753551.36	0.0	0.0	0.0	1724570.624	189440.0	0.0	0.0	0.0
job_1435714271812_11358	2.18784256E7	0.0	0.0	0.0	2.596868608E7	1.422336E7	0.0	0.0	0.0
job_1435714271812_11240	1930989.568	0.0	933.8879999999999	0.0	6617238.528	4018176.0	0.0	0.0	0.0
job_1435714271812_11404	1.7148125184E7	0.0	0.0	0.0	1.9806924185599995E8	1.89011968E8	0.0	0.0	0.0
job_1435714271812_10633	0.0	0.0	0.0	0.0	490696.19200000004	26112.0	0.0	0.0	0.0
job_1435714271812_11483	0.0	0.0	0.0	0.0	83728.89600000001	4608.0	0.0	0.0	0.0
job_1435714271812_11492	0.0	0.0	0.0	0.0	800083.968	860160.0	0.0	116736.0	0.0
job_1435714271812_11431	1.8208657408E7	0.0	0.0	0.0	7.7873678848E7	7.2239616E7	0.0	0.0	0.0
job_1435714271812_11280	1289731.072	0.0	0.0	0.0	3018130.4319999996	1345536.0	0.0	0.0	0.0
job_1435714271812_10769	727001.6	0.0	24360.96	0.0	1309378.5599999998	4608.0	0.0	0.0	0.0
job_1435714271812_11458	0.0	0.0	0.0	0.0	3.1651767808E7	8.4483072E7	0.0	1.2763136E7	0.0
